id,title,date,notes,physicalDescription,object_type,topic,hue,saturation,lightness,vibrant,muted,darkVibrant,darkMuted,lightVibrant,material_1_x,image,material,recordLink,record_urls,addl_urls,x value,y value,K-means cluster
ld1-1643406967081-1643407006170-0,Hat With Imitation Dreadlocks,,"A knitted red yellow green and black hat with braided black yarn ""dread-locks""",37 cm,Hats,Anthropology,357.44,92.95,44.51,#db0811,#8b827a,#880c12,#555040,#fa7f84,,https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3aa71fde9077249dd8fd373f5e90d9755/640,Synthetic Materials,http://n2t.net/ark:/65665/3c841304c-267b-4eb3-9107-910e82e6d92e,"['https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3a1631c718d6747d596a1d7e83bbbd13d/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m305f1f5b05d684136b458a236cc195c74/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3e8bc2e584d644e50a45e8abf7e507e6e/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m36dfc62b9e5964380b7de208abeb4db4e/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m379e9d45f4b7741c3a197445f321c101a/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3aa71fde9077249dd8fd373f5e90d9755/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3437759f1fb7547ae95d7e549f9d59215/640']","['https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3a1631c718d6747d596a1d7e83bbbd13d/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m305f1f5b05d684136b458a236cc195c74/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3e8bc2e584d644e50a45e8abf7e507e6e/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m36dfc62b9e5964380b7de208abeb4db4e/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m379e9d45f4b7741c3a197445f321c101a/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3aa71fde9077249dd8fd373f5e90d9755/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3437759f1fb7547ae95d7e549f9d59215/640']",357.44,92.95,4
ld1-1643406967081-1643407006138-1,Baseball Cap,,Green and white ball cap with the words Mickey Gone Dread and an image of a dreadlocked Mickey mouse on it.,26 cm,Hats,Anthropology,164.37,91.03,30.59,#079570,#5ca47c,#086d4b,#4c6434,#80f9d9,,https://ids.si.edu/ids/deliveryService/id/ark:/65665/m33f836ccd0f1a4bee97e0fc2c65e918b7/640,Synthetic Materials,http://n2t.net/ark:/65665/328a768ca-0a7c-4608-b02c-8207a607aa8e,"['https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3c0398021ca3a4ef380b545dfb01dbbe3/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m307cc4c5331c74826acc89814431a1b34/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m33f836ccd0f1a4bee97e0fc2c65e918b7/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3b95b58280b0c4aa5968340115b0659c3/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3e6b11a7d8b0c4b659b19af8f1c948e79/640']","['https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3c0398021ca3a4ef380b545dfb01dbbe3/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m307cc4c5331c74826acc89814431a1b34/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m33f836ccd0f1a4bee97e0fc2c65e918b7/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3b95b58280b0c4aa5968340115b0659c3/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3e6b11a7d8b0c4b659b19af8f1c948e79/640']",164.37,91.03,1
ld1-1643406967081-1643407006172-0,Baseball Cap,,A black baseball cap with yellow red and green images of Bob Marley,24 cm,Hats,Anthropology,354.58,88.94,39.02,#bc0b1b,#ae6464,#9c5d05,#534b3e,#dcb464,,https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3e51da0dac53b49b39c3eae0075fb8ad8/640,Synthetic Materials,http://n2t.net/ark:/65665/33f9bdaac-f8bc-4a61-bd06-4a8a90bbc107,"['https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3ad16251cd85a49beba908f0dd420cdd0/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m360f408fa700a4dd3ab39425c7279dd8e/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3784a13a6f74d4f968248792ba0188ce4/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m35320bcde23d0405bb5edab7878913645/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3a767f94515674e66b1cf930b390d5cf9/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3b1afd4764672403f8e39feb2d0c1d269/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3e51da0dac53b49b39c3eae0075fb8ad8/640']","['https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3ad16251cd85a49beba908f0dd420cdd0/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m360f408fa700a4dd3ab39425c7279dd8e/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3784a13a6f74d4f968248792ba0188ce4/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m35320bcde23d0405bb5edab7878913645/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3a767f94515674e66b1cf930b390d5cf9/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3b1afd4764672403f8e39feb2d0c1d269/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3e51da0dac53b49b39c3eae0075fb8ad8/640']",354.58,88.94,4
ld1-1643406825086-1643406825966-1,War Hat Or Headdress,1870s,"FROM CARD: ""FEATHERS OF PEACOCK AND ROUGH LEGGED HAWK INVENTORIED 1975. ILLUS.: HNDBK. N. AMER. IND., VOL. 11, GREAT BASIN, FIG. 7 LEFT, PG. 297."" Handbook caption identifies as: ""Headdress with a forked trail that would have reached the ground behind the wearer. The headband is of red stroud covered with a buckskin band with seed beads lazy-stitched in triangles of dark blue, light purple, green, and yellow, with edge bands of dark green and yellow. Erect rough-legged hawk and peacock feathers are attached, as are antenna-like wires strung with tan linen yarn, anchored behind buttons with green ribbon pendants. Below the headband is a scalp lock with a tuft of split red-tailed hawk feathers. The red stroud trailer is edged with blue stroud affixed by zigzag interlocking stitches of yellow yarn. On the edges are brass buttons with red, green, and yellow ribbon pendants; hawk bells and brass buttons alternate along the form edges. The trailer once had 3 parallel lines of pendants: red-tailed hawk feathers, the quills wrapped with dark blue, red, and green and white seed beads, attached to hawk bells. At the apex of the fork are a magpie feather, swan feather, and small red-dyed plumes, stuffed under a hawk bell.""",,Headdresses,Anthropology,0.38,86.96,36.08,#ac0d0c,#a08455,#a40c0b,#634037,#d1b99e,,https://ids.si.edu/ids/deliveryService/id/ark:/65665/m38614080fa583452aac792ff314073d5b/640,Synthetic Materials,http://n2t.net/ark:/65665/35cb4b21e-c326-47a2-8d06-0732765b176b,"['https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3475a2efeed224878a88a8ad8153312fb/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3baf9670006aa4a5baadb076269a3ec73/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m39bb228deb6cd4e68b83fab40c344a52f/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3bdb6a2e309294986b904752e98733878/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3b008c0831b5f41e98d39bbd9c3a1681d/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m33ae8ebb273e7440095210b98306da1c6/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3474977d8906f42718d1d5a80f5af9a3a/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m38614080fa583452aac792ff314073d5b/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3caa80ec373e64345990077f844a8a6ac/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3222efa33fa9e4affaafeb1fa0739a17d/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m333e72f61c01b42ae93521da8782ee2ed/640']","['https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3475a2efeed224878a88a8ad8153312fb/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3baf9670006aa4a5baadb076269a3ec73/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m39bb228deb6cd4e68b83fab40c344a52f/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3bdb6a2e309294986b904752e98733878/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3b008c0831b5f41e98d39bbd9c3a1681d/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m33ae8ebb273e7440095210b98306da1c6/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3474977d8906f42718d1d5a80f5af9a3a/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m38614080fa583452aac792ff314073d5b/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3caa80ec373e64345990077f844a8a6ac/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3222efa33fa9e4affaafeb1fa0739a17d/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m333e72f61c01b42ae93521da8782ee2ed/640']",0.38,86.96,1
ld1-1643406825086-1643406872026-0,Baseball Cap,1980s,"BASEBALL TYPE WITH BILL, MESH BACK, ADJUSTABLE FIT. COLORS: RED AND WHITE. ""APACHE TRIBE OF OKLAHOMA, ANADARKO, OK"" AND TRIBAL EMBLEM SILKSCREENED IN BLUE ON FRONT. TAG SEWN IN STATES ""SPEEDWAY, ONE SIZE FITS ALL, MADE IN CHINA"". PURCHASED FROM KIOWA APACHE CONVENIENCE STORE. MADE FOR SALE. NEW WHEN COLLECTED.",24 cm,Hats,Anthropology,354.36,84.19,42.16,#c61122,#a14c50,#76101a,#505462,#c76c6e,,https://ids.si.edu/ids/deliveryService/id/ark:/65665/m37a8a761ea3ff402f8787f0d9e65b404d/640,Synthetic Materials,http://n2t.net/ark:/65665/358f75cfe-d471-46d7-9362-6344314a3b6d,"['https://ids.si.edu/ids/deliveryService/id/ark:/65665/m367ec85ba596645f7b7b6d96227b6a732/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m358606bdfd9ad4619a79bc56492df412d/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m32347c4abf1944357bdc924b38eedd4b6/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m36e8728a7f587492fa2c076508890c1c8/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m349b7485b4aaf492ba5c6ff71c7ee2cbc/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m37a8a761ea3ff402f8787f0d9e65b404d/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3da8cfb9eafe04a56b63fe74435d6b983/640']","['https://ids.si.edu/ids/deliveryService/id/ark:/65665/m367ec85ba596645f7b7b6d96227b6a732/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m358606bdfd9ad4619a79bc56492df412d/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m32347c4abf1944357bdc924b38eedd4b6/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m36e8728a7f587492fa2c076508890c1c8/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m349b7485b4aaf492ba5c6ff71c7ee2cbc/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m37a8a761ea3ff402f8787f0d9e65b404d/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3da8cfb9eafe04a56b63fe74435d6b983/640']",354.36,84.19,4
ld1-1643406967081-1643406975932-1,Baseball Cap,2000s,"Dark blue cotton/polyester commercial manufactured bill cap with velcro adjuster at rear. Embroidered on front with bald eagle head emblem and ""Choctaw veteran"" and ""Oklahoma"". Has mild sweat staining on and near sweat band. Slight soiling of bill from finger pressure. See accession record for information on donor.",29 cm,Hats,Anthropology,357.69,83.87,36.47,#ab0f15,#847f7c,#911317,#1c1c34,#c7898f,,https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3bc3caf4978604fd0ad41f98de1373182/640,Synthetic Materials,http://n2t.net/ark:/65665/3e5140a7d-bb4c-492b-bdc5-c2f67ee5892a,"['https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3afc2d9fbe68742a1ad700bc6de35b218/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m39044c7a5293443619593137066a245a0/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3b15547c9046e4b0f967c0b7bfcbbc5e8/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3a5e1e7df70ea4729a571ed8b8d2d7693/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3bc3caf4978604fd0ad41f98de1373182/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m36235610f407845d8ade0bf95831c3d50/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m34e83b724a61b494a90380942229f74ad/640']","['https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3afc2d9fbe68742a1ad700bc6de35b218/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m39044c7a5293443619593137066a245a0/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3b15547c9046e4b0f967c0b7bfcbbc5e8/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3a5e1e7df70ea4729a571ed8b8d2d7693/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3bc3caf4978604fd0ad41f98de1373182/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m36235610f407845d8ade0bf95831c3d50/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m34e83b724a61b494a90380942229f74ad/640']",357.69,83.87,4
